orgid,name,sectorid
163,Greater Philly Environmental Network (GPEN),4
163,Greater Philly Environmental Network (GPEN),5
163,Greater Philly Environmental Network (GPEN),6
163,Greater Philly Environmental Network (GPEN),7
163,Greater Philly Environmental Network (GPEN),8
163,Greater Philly Environmental Network (GPEN),9
163,Greater Philly Environmental Network (GPEN),10
163,Greater Philly Environmental Network (GPEN),11
163,Greater Philly Environmental Network (GPEN),12
163,Greater Philly Environmental Network (GPEN),13
163,Greater Philly Environmental Network (GPEN),14
163,Greater Philly Environmental Network (GPEN),15
163,Greater Philly Environmental Network (GPEN),16
163,Greater Philly Environmental Network (GPEN),17
163,Greater Philly Environmental Network (GPEN),18
164,Greater Valley Forge Transportation Management Association,3
164,Greater Valley Forge Transportation Management Association,5
164,Greater Valley Forge Transportation Management Association,10
164,Greater Valley Forge Transportation Management Association,12
165,Green Drinks Philadelphia,1
165,Green Drinks Philadelphia,2
165,Green Drinks Philadelphia,3
165,Green Drinks Philadelphia,4
165,Green Drinks Philadelphia,5
165,Green Drinks Philadelphia,6
165,Green Drinks Philadelphia,7
165,Green Drinks Philadelphia,8
165,Green Drinks Philadelphia,9
165,Green Drinks Philadelphia,10
165,Green Drinks Philadelphia,11
165,Green Drinks Philadelphia,12
165,Green Drinks Philadelphia,13
165,Green Drinks Philadelphia,14
165,Green Drinks Philadelphia,16
165,Green Drinks Philadelphia,17
165,Green Drinks Philadelphia,18
166,Green Homeworks Inc.,2
166,Green Homeworks Inc.,3
166,Green Homeworks Inc.,16
167,Green Jobs & Sustainability Com of Mishkan Shalom,7
167,Green Jobs & Sustainability Com of Mishkan Shalom,16
168,Green Jobs Philly,3
168,Green Jobs Philly,5
168,Green Jobs Philly,6
168,Green Jobs Philly,8
168,Green Jobs Philly,9
168,Green Jobs Philly,10
168,Green Jobs Philly,16
168,Green Jobs Philly,17
169,Green Lane Nature Center,4
169,Green Lane Nature Center,13
169,Green Lane Nature Center,18
171,Green Restaurant Association,3
171,Green Restaurant Association,8
171,Green Restaurant Association,16
172,Green Valleys Association at Welkinweir,4
172,Green Valleys Association at Welkinweir,11
172,Green Valleys Association at Welkinweir,17
172,Green Valleys Association at Welkinweir,18
173,Green Village Philadelphia,6
173,Green Village Philadelphia,10
173,Green Village Philadelphia,16
174,GREENABLE,1
174,GREENABLE,2
174,GREENABLE,5
174,GREENABLE,6
174,GREENABLE,10
174,GREENABLE,16
175,Greenadelphia!,1
175,Greenadelphia!,2
175,Greenadelphia!,3
175,Greenadelphia!,5
175,Greenadelphia!,6
175,Greenadelphia!,9
175,Greenadelphia!,11
175,Greenadelphia!,12
175,Greenadelphia!,13
175,Greenadelphia!,14
175,Greenadelphia!,16
175,Greenadelphia!,17
175,Greenadelphia!,18
176,GreenFaith,1
176,GreenFaith,2
176,GreenFaith,3
176,GreenFaith,4
176,GreenFaith,5
176,GreenFaith,6
176,GreenFaith,7
176,GreenFaith,9
176,GreenFaith,10
176,GreenFaith,12
176,GreenFaith,14
176,GreenFaith,15
176,GreenFaith,16
177,"GreenLife.  Yoga, Health, & Wellness",9
178,Greenlimbs,8
178,Greenlimbs,9
178,Greenlimbs,16
179,GreenLine Paper Company,3
179,GreenLine Paper Company,14
180,GreenMicrofinance,3
180,GreenMicrofinance,5
181,Greenpeace Philadelphia,5
181,Greenpeace Philadelphia,9
181,Greenpeace Philadelphia,12
181,Greenpeace Philadelphia,16
182,GreenPlan Philadelphia,10
182,GreenPlan Philadelphia,12
182,GreenPlan Philadelphia,16
183,Greensgrow Farms,4
183,Greensgrow Farms,5
183,Greensgrow Farms,8
183,Greensgrow Farms,9
183,Greensgrow Farms,11
183,Greensgrow Farms,16
184,GreenSpace Alliance of Southeastern Pennsylvania,10
184,GreenSpace Alliance of Southeastern Pennsylvania,18
185,"GreenTreks Network, Inc.",4
187,grow-design,2
187,grow-design,3
187,grow-design,8
187,grow-design,14
187,grow-design,16
188,Habitat for Humanity Philadelphia,4
188,Habitat for Humanity Philadelphia,7
188,Habitat for Humanity Philadelphia,10
188,Habitat for Humanity Philadelphia,16
189,Habitat Resource Network of Southeast Pennsylvania,4
189,Habitat Resource Network of Southeast Pennsylvania,9
189,Habitat Resource Network of Southeast Pennsylvania,11
189,Habitat Resource Network of Southeast Pennsylvania,16
189,Habitat Resource Network of Southeast Pennsylvania,17
189,Habitat Resource Network of Southeast Pennsylvania,18
190,Hawk Mountain Sanctuary Association,13
190,Hawk Mountain Sanctuary Association,18
191,"Healthy Spaces, Inc.",1
191,"Healthy Spaces, Inc.",2
191,"Healthy Spaces, Inc.",4
191,"Healthy Spaces, Inc.",9
191,"Healthy Spaces, Inc.",15
191,"Healthy Spaces, Inc.",16
191,"Healthy Spaces, Inc.",17
192,Heritage Conservancy,2
192,Heritage Conservancy,4
192,Heritage Conservancy,10
192,Heritage Conservancy,16
193,Highlands Coalition,10
193,Highlands Coalition,13
193,Highlands Coalition,17
193,Highlands Coalition,18
194,Historic Fair Hill Burial Ground,11
194,Historic Fair Hill Burial Ground,19
195,Hometown Green,1
195,Hometown Green,2
195,Hometown Green,4
195,Hometown Green,14
195,Hometown Green,16
196,Honey Hollow Environmental Education Center,4
196,Honey Hollow Environmental Education Center,10
196,Honey Hollow Environmental Education Center,17
196,Honey Hollow Environmental Education Center,18
197,Horseways PA,10
197,Horseways PA,13
198,Hundredfold Farm,16
200,Institution Recycling Network,14
201,Interfaith Coalition on Energy,2
201,Interfaith Coalition on Energy,5
201,Interfaith Coalition on Energy,7
202,John Bartram Association,4
202,John Bartram Association,11
202,John Bartram Association,13
203,John Heinz Wildlife Refuge at Tinicum,4
203,John Heinz Wildlife Refuge at Tinicum,13
203,John Heinz Wildlife Refuge at Tinicum,18
204,John James Audubon Center at Mill Grove,4
204,John James Audubon Center at Mill Grove,13
204,John James Audubon Center at Mill Grove,18
205,"Just Food, Villanova University",8
206,"Kate Lawn, Whole Body Nutrition",8
206,"Kate Lawn, Whole Body Nutrition",9
206,"Kate Lawn, Whole Body Nutrition",16
207,Kathy Robbins Interiors,2
207,Kathy Robbins Interiors,9
207,Kathy Robbins Interiors,16
208,Keep Lancaster Beautiful,2
208,Keep Lancaster Beautiful,3
208,Keep Lancaster Beautiful,4
208,Keep Lancaster Beautiful,6
208,Keep Lancaster Beautiful,9
208,Keep Lancaster Beautiful,10
208,Keep Lancaster Beautiful,11
208,Keep Lancaster Beautiful,13
208,Keep Lancaster Beautiful,14
208,Keep Lancaster Beautiful,16
209,Ken Odell Painting,2
209,Ken Odell Painting,3
210,Keystone Conservation Trust,10
210,Keystone Conservation Trust,18
211,Keystone H.E.L.P. (Home Energy Loan Program),5
212,Keystone Property Connections,2
212,Keystone Property Connections,10
213,Land Conservancy for Southern Chester County (The),4
213,Land Conservancy for Southern Chester County (The),10
213,Land Conservancy for Southern Chester County (The),13
